時間戳記,請問您的性別是：,您的年齡：,教育程度（學歷） , 請問您的職業是:,居住地區：,請問您每月平均所得為?,請問您每月平均支出為? ,請問您曾經使用過防曬商品嗎?,"(呈上題) 針對選到 ""一直有使用"" 或 ""曾經使用過"" 者
2025/5/26 下午 1:48:12,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,001-40,000元",曾經使用過,6-12個月,兩到三週一次,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,同意,同意,同意,同意,普通,同意,同意,普通,同意,普通,同意,普通,普通,普通,普通,同意,同意,普通,普通,普通,普通,普通,普通,不同意,普通,同意,普通,會,701元-900元
2025/5/27 上午 9:13:59,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",沒有使用過，但未來想要使用(不排斥),,,沒有使用防曬產品,都沒有用過,普通,普通,普通,同意,同意,非常同意,同意,非常同意,同意,同意,非常同意,同意,同意,非常同意,普通,同意,同意,同意,不同意,普通,普通,不同意,同意,非常同意,非常同意,非常同意,非常同意,不會,
2025/5/27 上午 9:35:33,女,46-50歲,大學/大專,服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$50,001-70,000元","$40,001-60,000元",一直有使用,5-6年,每天,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,普通,普通,普通,同意,普通,普通,普通,普通,普通,同意,同意,同意,同意,同意,會,501元-700元
2025/5/27 上午 10:03:16,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,七個月以上一次,沒有使用防曬產品,金鑽高效防曬露NA（5X版）,同意,普通,普通,普通,普通,普通,普通,普通,普通,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,同意,普通,普通,會,501元-700元
2025/5/27 上午 10:06:40,女,46-50歲,大學/大專,服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$50,001-70,000元","$20,001-40,000元",沒有使用過，但未來想要使用(不排斥),,,沒有使用防曬產品,都沒有用過,普通,普通,普通,同意,普通,同意,普通,普通,普通,同意,同意,普通,同意,普通,同意,同意,同意,同意,普通,普通,普通,普通,同意,同意,同意,同意,同意,會,300元-500元
2025/5/27 上午 10:09:34,女,36-40歲,大學/大專,人力仲介代徵,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,001-40,000元",曾經使用過,3個月以下,七個月以上一次,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,不會,
2025/5/27 上午 10:22:13,女,46-50歲,大學/大專,服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,001-40,000元",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream)",金鑽高效防曬露NA（5X版）,同意,同意,普通,同意,同意,同意,非常同意,非常同意,非常同意,同意,同意,同意,非常同意,同意,普通,非常同意,非常同意,普通,同意,普通,普通,普通,同意,普通,非常同意,非常同意,非常同意,會,701元-900元
2025/5/27 上午 11:12:49,女,46-50歲,大學/大專,通訊業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,000元(含)以下",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream)",金鑽高效防曬露NA（5X版）,非常同意,非常同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,同意,同意,非常同意,非常同意,普通,普通,普通,普通,同意,同意,同意,同意,同意,會,300元-500元
2025/5/27 上午 11:20:57,女,46-50歲,四技五專,軍公教人員(軍人、公務人員、教師),南部（嘉義、台南、高雄、屏東）,"$30,001-50,000元","$20,000元(含)以下",一直有使用,6年以上,每天,"防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)",都沒有用過,同意,同意,普通,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,非常同意,非常同意,非常同意,非常同意,非常同意,會,300元-500元
2025/5/27 上午 11:42:24,男,41-45歲,大學/大專,資訊科技業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,001-40,000元",一直有使用,1-2 年,兩到三天一次,防曬乳液 (Sunscreen Lotion),都沒有用過,同意,同意,普通,同意,同意,同意,同意,普通,同意,普通,同意,普通,同意,普通,普通,普通,同意,普通,普通,普通,普通,普通,非常同意,非常同意,非常同意,非常同意,同意,會,300元-500元
2025/5/27 下午 12:04:41,女,36-40歲,大學/大專,製造業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,6年以上,兩到三週一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,會,300元-500元
2025/5/27 下午 12:21:14,女,51-55歲,高中(職),服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$50,001-70,000元","$20,001-40,000元",一直有使用,6年以上,每天,防曬霜 (Sunscreen Cream),金鑽高效防曬露NA（5X版）,不同意,不同意,不同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,不同意,不同意,普通,不同意,不同意,不同意,不同意,不同意,普通,不同意,同意,同意,同意,不會,300元-500元
2025/5/27 下午 12:32:08,女,36-40歲,碩士,專業人員(醫生、律師、工程師等),東部（宜蘭、花蓮、台東）,"$30,001-50,000元","$20,001-40,000元",曾經使用過,3-4年,兩到三個月一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,不同意,普通,非常不同意,不同意,不同意,不同意,普通,不同意,不同意,普通,普通,普通,普通,同意,同意,同意,普通,普通,不會,300元-500元
2025/5/27 下午 12:53:29,女,36-40歲,大學/大專,電信,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,000元(含)以下",曾經使用過,6年以上,四到六個月一次,防曬乳液 (Sunscreen Lotion),都沒有用過,同意,同意,普通,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,會,701元-900元
2025/5/27 下午 3:24:52,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)","金鑽高效防曬露NA（5X版）, 金鑽高效水感防曬凝膠NA",非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,同意,同意,同意,同意,同意,會,501元-700元
2025/5/27 下午 4:09:28,女,41-45歲,高中(職),零售業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,每天,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,普通,普通,普通,同意,普通,同意,同意,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,同意,同意,同意,會,701元-900元
2025/5/27 下午 5:02:24,男,18-25歲,大學/大專,學生,中部（台中、彰化、南投、雲林）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,6年以上,七個月以上一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,非常同意,非常同意,非常同意,非常同意,非常同意,不會,小於300
2025/5/27 下午 6:17:44,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,000元(含)以下",曾經使用過,3-6個月,五到七天一次,沒有使用防曬產品,都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,不會,小於300
2025/5/27 下午 6:20:40,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",沒有使用過，但未來想要使用(不排斥),6-12個月,五到七天一次,防曬凝膠 (Sunscreen Gel),都沒有用過,不同意,不同意,普通,不同意,非常不同意,同意,普通,不同意,同意,普通,不同意,普通,同意,同意,不同意,普通,不同意,普通,普通,不同意,不同意,非常不同意,不同意,普通,普通,普通,不同意,不會,701元-900元
2025/5/27 下午 6:20:44,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,1-2 年,一個月一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,不同意,不同意,普通,普通,普通,普通,普通,普通,不同意,同意,普通,普通,普通,不會,
2025/5/27 下午 6:20:55,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3-4年,一個月一次,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,同意,同意,同意,非常同意,同意,非常同意,非常同意,非常同意,同意,同意,同意,同意,非常同意,非常同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,同意,同意,同意,會,501元-700元
2025/5/27 下午 6:22:57,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,6-12個月,一個月一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",都沒有用過,普通,普通,普通,普通,普通,同意,普通,普通,普通,普通,不同意,普通,不同意,不同意,不同意,不同意,不同意,不同意,普通,不同意,不同意,不同意,同意,普通,普通,普通,普通,不會,小於300
2025/5/27 下午 6:29:35,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,一週一次,防曬乳液 (Sunscreen Lotion),都沒有用過,同意,同意,普通,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,同意,同意,同意,同意,非常不同意,非常不同意,非常不同意,非常不同意,同意,非常同意,同意,同意,非常同意,不會,
2025/5/27 下午 6:32:23,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,1-2 年,兩到三個月一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,同意,不同意,普通,普通,普通,普通,普通,普通,普通,同意,普通,普通,不同意,普通,同意,同意,同意,不同意,不同意,不同意,不同意,同意,不同意,不同意,同意,同意,會,501元-700元
2025/5/27 下午 6:37:01,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,6年以上,七個月以上一次,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)",都沒有用過,同意,同意,普通,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,普通,同意,普通,同意,普通,非常同意,非常同意,非常同意,非常同意,非常同意,會,小於300
2025/5/27 下午 6:42:51,女,18-25歲,大學/大專,專業人員(醫生、律師、工程師等),北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,001-40,000元",一直有使用,6年以上,四到五天一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,不同意,普通,普通,普通,不同意,不同意,不同意,不同意,同意,同意,同意,同意,同意,不會,小於300
2025/5/27 下午 6:45:58,女,51-55歲,四技五專,服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$50,001-70,000元","$40,001-60,000元",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)","金鑽高效防曬露NA（5X版）, 金鑽高效水感防曬凝膠NA, 曬後淨白修復精華（夜用）",同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,會,大於1300
2025/5/27 下午 6:55:48,女,18-25歲,大學/大專,專業人員(醫生、律師、工程師等),北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,001-40,000元",一直有使用,6年以上,四到五天一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,不同意,普通,普通,普通,普通,普通,普通,普通,同意,同意,同意,同意,同意,不會,小於300
2025/5/27 下午 7:01:38,女,18-25歲,高中(職),學生,南部（嘉義、台南、高雄、屏東）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,2-3年,兩到三天一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",都沒有用過,同意,非常同意,同意,同意,同意,非常同意,非常同意,非常同意,非常同意,同意,非常同意,普通,普通,普通,普通,同意,同意,普通,普通,同意,同意,同意,非常同意,非常同意,非常同意,非常同意,非常同意,會,300元-500元
2025/5/27 下午 7:13:21,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,3個月以下,兩到三天一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,同意,同意,同意,同意,同意,會,300元-500元
2025/5/27 下午 7:38:12,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,七個月以上一次,防曬噴霧 (Sunscreen Spray),都沒有用過,不同意,不同意,不同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,不同意,普通,普通,普通,不同意,不同意,不同意,不同意,同意,同意,同意,同意,同意,不會,
2025/5/27 下午 8:01:13,女,18-25歲,大學/大專,學生,中部（台中、彰化、南投、雲林）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,1-2 年,每天,防曬霜 (Sunscreen Cream),都沒有用過,同意,同意,普通,同意,同意,非常同意,同意,同意,非常同意,普通,普通,不同意,普通,不同意,普通,同意,同意,普通,普通,普通,普通,普通,非常同意,非常同意,非常同意,非常同意,非常同意,會,300元-500元
2025/5/27 下午 10:39:37,女,18-25歲,大學/大專,學生,中部（台中、彰化、南投、雲林）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3-6個月,兩到三天一次,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream)",都沒有用過,普通,普通,普通,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,不同意,不同意,不同意,不同意,非常同意,非常同意,非常同意,非常同意,非常同意,不會,
2025/5/27 下午 10:51:50,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,1-2 年,每天,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,同意,同意,普通,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,同意,普通,普通,普通,普通,同意,同意,普通,同意,普通,會,501元-700元
2025/5/27 下午 10:56:34,女,36-40歲,大學/大專,服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,001-40,000元",曾經使用過,3個月以下,兩到三個月一次,防曬乳液 (Sunscreen Lotion),都沒有用過,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,會,701元-900元
2025/5/27 下午 11:45:24,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,5-6年,每天,防曬乳液 (Sunscreen Lotion),都沒有用過,不同意,不同意,不同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,不同意,普通,同意,普通,普通,非常不同意,不同意,普通,不會,小於300
2025/5/27 下午 11:53:31,女,18-25歲,大學/大專,學生,中部（台中、彰化、南投、雲林）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,一週一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",都沒有用過,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,普通,同意,普通,普通,普通,同意,同意,普通,不同意,不同意,不同意,同意,同意,同意,同意,同意,不會,
2025/5/28 上午 12:33:01,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,四到六個月一次,防曬噴霧 (Sunscreen Spray),都沒有用過,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,會,300元-500元
2025/5/28 上午 12:40:01,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,五到七天一次,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream)",金鑽高效防曬露NA（5X版）,同意,同意,同意,非常同意,同意,非常同意,同意,同意,同意,同意,同意,普通,同意,同意,同意,同意,同意,同意,普通,不同意,不同意,不同意,非常同意,非常同意,非常同意,非常同意,非常同意,會,501元-700元
2025/5/28 上午 12:40:33,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,3個月以下,五到七天一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,不會,小於300
2025/5/28 上午 11:17:32,女,36-40歲,大學/大專,金融業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,001-40,000元",曾經使用過,6年以上,一週一次,"沒有使用防曬產品, 防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,同意,同意,同意,同意,普通,同意,同意,同意,同意,同意,普通,普通,同意,普通,普通,普通,同意,普通,普通,普通,普通,普通,非常同意,非常同意,同意,同意,同意,會,300元-500元
2025/5/28 下午 12:29:41,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,一個月一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)","金鑽高效防曬露NA（5X版）, 美光燈潤色防曬凝膠N",普通,普通,普通,普通,普通,普通,普通,普通,普通,同意,同意,不同意,同意,普通,同意,同意,同意,同意,不同意,不同意,不同意,非常不同意,同意,非常同意,非常同意,非常同意,非常同意,不會,小於300
2025/5/28 下午 2:07:02,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,3-4年,兩到三天一次,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,同意,同意,同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,普通,普通,普通,同意,普通,非常同意,非常同意,非常同意,非常同意,普通,普通,普通,普通,非常同意,普通,非常同意,非常同意,非常同意,會,300元-500元
2025/5/28 下午 2:34:08,男,41-45歲,大學/大專,服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$70,001-90,000元","$60,001-80,000元",一直有使用,6年以上,每天,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,同意,同意,普通,同意,非常同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,非常同意,非常同意,非常同意,同意,非常同意,會,701元-900元
2025/5/28 下午 2:56:26,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,1-2 年,一個月一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",都沒有用過,同意,同意,同意,同意,普通,普通,同意,同意,同意,同意,同意,普通,普通,同意,不同意,普通,普通,普通,同意,同意,同意,同意,同意,不同意,同意,同意,同意,會,300元-500元
2025/5/28 下午 6:09:54,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,七個月以上一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,非常同意,非常同意,非常同意,非常同意,非常同意,不會,小於300
2025/5/28 下午 6:18:18,女,18-25歲,大學/大專,學生,南部（嘉義、台南、高雄、屏東）,"$30,001-50,000元","$20,000元(含)以下",一直有使用,5-6年,每天,防曬乳液 (Sunscreen Lotion),都沒有用過,同意,同意,同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,同意,同意,普通,同意,同意,普通,同意,同意,普通,普通,普通,普通,普通,非常同意,非常同意,非常同意,非常同意,非常同意,會,300元-500元
2025/5/28 下午 6:20:21,女,31-35歲,大學/大專,服務業,南部（嘉義、台南、高雄、屏東）,"$30,001-50,000元","$20,000元(含)以下",一直有使用,6年以上,兩到三週一次,防曬乳液 (Sunscreen Lotion),都沒有用過,非常不同意,非常不同意,非常不同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,普通,普通,普通,同意,非常同意,非常同意,非常同意,非常同意,不會,701元-900元
2025/5/28 下午 6:20:28,女,18-25歲,碩士,專業人員(醫生、律師、工程師等),北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,000元(含)以下",一直有使用,6年以上,兩到三天一次,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)","金鑽高效防曬露NA（5X版）, 金鑽高效水感防曬凝膠NA",同意,同意,普通,非常同意,非常同意,非常同意,非常同意,普通,同意,同意,非常同意,同意,同意,同意,不同意,普通,普通,不同意,同意,同意,同意,同意,非常同意,非常同意,非常同意,非常同意,非常同意,會,300元-500元
2025/5/28 下午 6:23:20,女,26-30歲,大學/大專,服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,一週一次,防曬乳液 (Sunscreen Lotion),都沒有用過,同意,同意,普通,普通,普通,普通,普通,普通,普通,普通,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,同意,非常同意,非常同意,同意,非常同意,會,小於300
