時間戳記,請問您的性別是：,您的年齡：,教育程度（學歷） , 請問您的職業是:,居住地區：,請問您每月平均所得為?,請問您每月平均支出為? ,請問您曾經使用過防曬商品嗎?,"(呈上題) 針對選到 ""一直有使用"" 或 ""曾經使用過"" 者
2025/5/29 下午 1:25:40,女,31-35歲,大學/大專,專業人員(醫生、律師、工程師等),北部（台北、新北、基隆、桃園、新竹、苗栗）,"$70,001-90,000元","$20,001-40,000元",一直有使用,6年以上,每天,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,普通,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,不同意,同意,普通,同意,普通,同意,同意,非常同意,非常同意,非常同意,不會,501元-700元
2025/5/29 下午 2:07:40,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,1-2 年,四到五天一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)","都沒有用過, 金鑽高效防曬露NA（5X版）",非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,普通,非常同意,普通,同意,非常同意,非常同意,非常同意,不同意,不同意,非常不同意,不同意,非常同意,非常同意,非常同意,非常同意,非常同意,會,300元-500元
2025/5/29 下午 2:08:22,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,001-40,000元",曾經使用過,3-4年,四到五天一次,防曬乳液 (Sunscreen Lotion),金鑽高效水感防曬凝膠NA,普通,普通,同意,普通,普通,同意,同意,同意,同意,普通,同意,同意,普通,普通,普通,普通,同意,普通,普通,同意,普通,普通,普通,不同意,普通,普通,普通,會,501元-700元
2025/5/29 下午 2:08:22,女,18-25歲,高中(職),學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,1-2 年,兩到三天一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,不同意,普通,普通,不同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,會,小於300
2025/5/29 下午 2:08:38,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",沒有使用過，未來也不會使用,,,沒有使用防曬產品,都沒有用過,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,不同意,非常不同意,不同意,非常不同意,非常不同意,普通,普通,普通,普通,非常不同意,非常不同意,非常不同意,非常不同意,普通,普通,普通,普通,普通,不會,
2025/5/29 下午 2:09:02,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$40,001-60,000元",曾經使用過,3個月以下,四到六個月一次,沒有使用防曬產品,都沒有用過,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,會,300元-500元
2025/5/29 下午 2:09:21,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,兩到三天一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,不同意,同意,同意,普通,同意,不同意,普通,普通,同意,同意,同意,同意,同意,會,901元-1200元
2025/5/29 下午 2:10:24,女,18歲以下,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,3-6個月,每天,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream)",金鑽高效防曬露NA（5X版）,同意,同意,普通,同意,普通,同意,同意,同意,同意,同意,非常同意,同意,同意,同意,普通,普通,同意,同意,同意,普通,普通,普通,同意,非常同意,非常同意,非常同意,同意,會,300元-500元
2025/5/29 下午 2:11:13,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,001-40,000元",一直有使用,1-2 年,兩到三天一次,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,同意,同意,非常同意,同意,同意,同意,同意,非常同意,非常同意,普通,同意,非常同意,非常同意,普通,同意,同意,非常同意,非常同意,普通,不同意,不同意,不同意,同意,非常同意,非常同意,非常同意,非常同意,會,300元-500元
2025/5/29 下午 2:11:28,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,2-3年,一個月一次,防曬乳液 (Sunscreen Lotion),都沒有用過,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,普通,普通,同意,同意,同意,同意,同意,普通,普通,普通,普通,同意,同意,同意,同意,同意,會,300元-500元
2025/5/29 下午 2:11:30,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,每天,"防曬乳液 (Sunscreen Lotion), 防曬棒 (Sunscreen Stick)",都沒有用過,普通,同意,普通,同意,普通,同意,普通,普通,普通,同意,普通,普通,普通,同意,普通,同意,同意,普通,同意,普通,同意,同意,同意,同意,同意,同意,同意,會,300元-500元
2025/5/29 下午 2:12:51,女,18-25歲,大學/大專,學生,中部（台中、彰化、南投、雲林）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,七個月以上一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,普通,普通,普通,普通,不同意,同意,普通,同意,同意,普通,同意,同意,普通,同意,普通,同意,普通,不同意,不同意,不同意,不同意,同意,普通,同意,同意,同意,不會,300元-500元
2025/5/29 下午 2:14:33,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,2-3年,兩到三天一次,"防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)",都沒有用過,普通,同意,不同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,不同意,不同意,普通,同意,同意,同意,同意,非常同意,不會,
2025/5/29 下午 2:14:50,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,001-40,000元",一直有使用,6年以上,兩到三天一次,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,同意,非常同意,普通,同意,同意,非常同意,非常同意,非常同意,同意,普通,普通,普通,普通,普通,不同意,同意,同意,同意,會,701元-900元
2025/5/29 下午 2:15:56,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,兩到三天一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",美光燈潤色防曬凝膠N,普通,不同意,不同意,同意,普通,普通,普通,普通,普通,同意,普通,普通,普通,普通,普通,普通,不同意,普通,同意,普通,普通,普通,同意,普通,普通,普通,普通,不會,300元-500元
2025/5/29 下午 2:16:07,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,6-12個月,兩到三個月一次,防曬乳液 (Sunscreen Lotion),都沒有用過,同意,同意,普通,同意,同意,同意,同意,同意,同意,同意,同意,普通,不同意,不同意,普通,同意,普通,非常不同意,不同意,不同意,不同意,不同意,同意,不同意,同意,同意,同意,不會,300元-500元
2025/5/29 下午 2:19:27,男,26-30歲,大學/大專,學生,南部（嘉義、台南、高雄、屏東）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,3-6個月,每天,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,非常同意,非常同意,同意,非常同意,非常同意,非常同意,同意,同意,非常同意,同意,非常同意,同意,非常同意,非常同意,普通,普通,同意,同意,不同意,不同意,不同意,不同意,非常同意,非常同意,非常同意,非常同意,非常同意,會,501元-700元
2025/5/29 下午 2:19:49,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,兩到三週一次,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)",都沒有用過,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,同意,普通,普通,同意,同意,同意,同意,同意,同意,同意,會,501元-700元
2025/5/29 下午 2:22:40,女,18歲以下,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",都沒有用過,普通,普通,普通,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,非常同意,非常同意,非常同意,非常同意,非常同意,不會,小於300
2025/5/29 下午 3:04:57,女,26-30歲,碩士,製造業,南部（嘉義、台南、高雄、屏東）,"$50,001-70,000元","$20,000元(含)以下",一直有使用,3-6個月,兩到三天一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,普通,普通,普通,普通,同意,同意,普通,同意,普通,普通,普通,普通,普通,不同意,普通,普通,普通,普通,普通,普通,普通,同意,同意,同意,同意,同意,不會,300元-500元
2025/5/29 下午 3:28:25,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,6年以上,兩到三個月一次,防曬噴霧 (Sunscreen Spray),金鑽高效防曬露NA（5X版）,同意,同意,同意,同意,同意,同意,同意,同意,同意,不同意,同意,不同意,不同意,不同意,不同意,普通,同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,同意,同意,同意,同意,同意,會,501元-700元
2025/5/29 下午 3:48:47,女,26-30歲,大學/大專,營造業,南部（嘉義、台南、高雄、屏東）,"$30,001-50,000元","$20,000元(含)以下",一直有使用,6年以上,五到七天一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",都沒有用過,同意,同意,普通,普通,同意,同意,同意,普通,同意,同意,非常同意,非常同意,同意,同意,同意,同意,同意,普通,普通,普通,不同意,不同意,非常同意,非常同意,非常同意,非常同意,普通,會,300元-500元
2025/5/29 下午 4:38:44,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,1-2 年,每天,防曬霜 (Sunscreen Cream),金鑽高效防曬露NA（5X版）,同意,普通,普通,同意,普通,非常同意,非常同意,非常同意,同意,非常同意,非常同意,同意,非常同意,非常同意,普通,同意,同意,同意,普通,非常不同意,普通,普通,同意,不同意,同意,同意,非常同意,會,501元-700元
2025/5/29 下午 4:42:17,男,46-50歲,碩士,自由業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,001-40,000元",曾經使用過,5-6年,兩到三天一次,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,普通,普通,不同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,同意,同意,普通,普通,普通,普通,普通,普通,普通,普通,同意,普通,同意,同意,同意,不會,
2025/5/29 下午 4:44:08,女,46-50歲,大學/大專,製造業,南部（嘉義、台南、高雄、屏東）,"$50,001-70,000元","$20,001-40,000元",一直有使用,6年以上,四到五天一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",都沒有用過,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,同意,普通,普通,同意,同意,會,小於300
2025/5/29 下午 4:50:18,男,51-55歲,四技五專,製造業,中部（台中、彰化、南投、雲林）,"$130,001-150,000元","$80,001-100,000元",沒有使用過，但未來想要使用(不排斥),,,沒有使用防曬產品,都沒有用過,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,會,501元-700元
2025/5/29 下午 4:50:33,女,18-25歲,大學/大專,學生,中部（台中、彰化、南投、雲林）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3-4年,兩到三天一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,同意,同意,普通,普通,普通,同意,普通,普通,同意,普通,普通,普通,普通,普通,同意,普通,同意,普通,非常不同意,非常不同意,不同意,非常不同意,非常同意,非常同意,同意,非常同意,同意,會,300元-500元
2025/5/29 下午 4:53:21,女,46-50歲,大學/大專,家庭主婦,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,001-40,000元",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",金鑽高效水感防曬凝膠NA,普通,普通,普通,同意,普通,同意,同意,普通,普通,普通,普通,普通,普通,普通,不同意,普通,普通,不同意,普通,普通,普通,普通,同意,普通,同意,同意,同意,不會,701元-900元
2025/5/29 下午 4:54:22,男,46-50歲,大學/大專,教育,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$110,001-130,000元","$80,001-100,000元",一直有使用,5-6年,兩到三天一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)","金鑽高效防曬露NA（5X版）, 輕親柔光敏感肌防曬露NA",非常同意,非常同意,非常同意,非常同意,同意,非常同意,非常同意,非常同意,非常同意,非常同意,同意,同意,同意,普通,普通,同意,同意,普通,同意,普通,普通,不同意,同意,普通,普通,普通,普通,會,大於1300
2025/5/29 下午 4:54:26,女,46-50歲,高中(職),家庭主婦,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,001-40,000元",曾經使用過,3個月以下,兩到三天一次,防曬噴霧 (Sunscreen Spray),曬後淨白修復精華（夜用）,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,會,300元-500元
2025/5/29 下午 4:56:20,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,3-6個月,,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,同意,同意,普通,普通,同意,同意,同意,同意,普通,普通,普通,普通,普通,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,不同意,會,300元-500元
2025/5/29 下午 4:58:04,男,51-55歲,大學/大專,製造業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$90,001-110,000元","$40,001-60,000元",曾經使用過,6年以上,兩到三個月一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,同意,同意,普通,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,會,701元-900元
2025/5/29 下午 5:00:29,男,46-50歲,四技五專,服務業,南部（嘉義、台南、高雄、屏東）,"$150,000元以上","$120,000元以上",曾經使用過,3-6個月,兩到三個月一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,普通,普通,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,會,300元-500元
2025/5/29 下午 5:05:32,女,46-50歲,大學/大專,專業人員(醫生、律師、工程師等),北部（台北、新北、基隆、桃園、新竹、苗栗）,"$50,001-70,000元","$20,001-40,000元",一直有使用,6年以上,每天,防曬霜 (Sunscreen Cream),都沒有用過,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,會,300元-500元
2025/5/29 下午 5:19:35,女,46-50歲,大學/大專,醫療,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$110,001-130,000元","$20,001-40,000元",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream)",都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,會,300元-500元
2025/5/29 下午 5:20:39,男,46-50歲,碩士,資訊科技業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$70,001-90,000元","$40,001-60,000元",曾經使用過,6-12個月,四到六個月一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",都沒有用過,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,會,501元-700元
2025/5/29 下午 5:30:36,女,51-55歲,大學/大專,專業人員(醫生、律師、工程師等),北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,001-40,000元",一直有使用,6年以上,兩到三天一次,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,普通,普通,同意,同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,會,小於300
2025/5/29 下午 5:34:05,女,36-40歲,碩士,自由業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$150,000元以上","$120,000元以上",一直有使用,6-12個月,每天,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,普通,普通,普通,非常同意,非常同意,非常同意,非常同意,普通,非常同意,普通,非常不同意,非常不同意,非常不同意,非常不同意,同意,同意,同意,同意,普通,非常不同意,非常不同意,非常不同意,同意,非常不同意,非常同意,非常同意,非常同意,不會,300元-500元
2025/5/29 下午 5:40:06,女,46-50歲,大學/大專,自由業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$130,001-150,000元","$80,001-100,000元",曾經使用過,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,同意,同意,同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,非常同意,同意,同意,非常同意,會,501元-700元
2025/5/29 下午 5:44:42,女,46-50歲,大學/大專,家庭主婦,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",沒有使用過，未來也不會使用,,,沒有使用防曬產品,都沒有用過,非常不同意,非常不同意,非常不同意,普通,普通,普通,普通,普通,普通,不同意,不同意,不同意,不同意,不同意,普通,普通,普通,普通,不同意,不同意,不同意,不同意,普通,普通,普通,普通,普通,不會,
2025/5/29 下午 5:53:19,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,1-2 年,每天,防曬霜 (Sunscreen Cream),金鑽高效防曬露NA（5X版）,普通,同意,同意,非常同意,同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,普通,非常同意,同意,普通,同意,普通,普通,普通,普通,普通,不同意,同意,不同意,普通,同意,普通,會,501元-700元
2025/5/29 下午 6:02:34,男,46-50歲,大學/大專,服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$150,000元以上","$60,001-80,000元",曾經使用過,3個月以下,七個月以上一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,非常同意,非常同意,普通,同意,同意,會,300元-500元
2025/5/29 下午 6:08:05,男,51-55歲,碩士,傳播/文化業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$70,001-90,000元","$40,001-60,000元",曾經使用過,,,沒有使用防曬產品,都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,不會,
2025/5/29 下午 7:20:50,女,51-55歲,碩士,資訊科技業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$90,001-110,000元","$60,001-80,000元",曾經使用過,3個月以下,兩到三個月一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,普通,普通,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,同意,同意,同意,同意,同意,不會,
2025/5/29 下午 7:25:34,女,18-25歲,大學/大專,學生,中部（台中、彰化、南投、雲林）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,四到五天一次,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream)",都沒有用過,同意,同意,普通,非常同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,同意,普通,普通,普通,普通,普通,同意,普通,同意,同意,非常同意,同意,同意,會,701元-900元
2025/5/29 下午 7:46:58,男,51-55歲,碩士,資訊科技業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$130,001-150,000元","$80,001-100,000元",曾經使用過,3個月以下,五到七天一次,沒有使用防曬產品,都沒有用過,普通,普通,不同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,不會,501元-700元
2025/5/29 下午 7:54:18,男,46-50歲,碩士,資訊科技業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$130,001-150,000元","$120,000元以上",曾經使用過,3個月以下,七個月以上一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,普通,普通,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,同意,非常不同意,非常不同意,非常不同意,非常不同意,不會,701元-900元
2025/5/29 下午 7:57:21,男,51-55歲,碩士,服務業,中部（台中、彰化、南投、雲林）,"$70,001-90,000元","$40,001-60,000元",曾經使用過,3-6個月,兩到三週一次,防曬噴霧 (Sunscreen Spray),金鑽高效防曬露NA（5X版）,同意,同意,普通,同意,同意,同意,同意,普通,同意,同意,普通,普通,普通,普通,同意,同意,同意,同意,普通,普通,普通,普通,同意,同意,同意,同意,同意,會,小於300
2025/5/29 下午 8:03:32,男,51-55歲,大學/大專,傳播/文化業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$150,000元以上","$120,000元以上",一直有使用,3-4年,每天,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,普通,普通,普通,同意,同意,同意,同意,同意,會,大於1300
2025/5/29 下午 8:09:49,女,41-45歲,大學/大專,專業人員(醫生、律師、工程師等),北部（台北、新北、基隆、桃園、新竹、苗栗）,"$150,000元以上","$80,001-100,000元",一直有使用,6年以上,每天,防曬霜 (Sunscreen Cream),"金鑽高效防曬露NA（5X版）, 輕親柔光敏感肌防曬露NA",普通,同意,普通,同意,同意,同意,同意,普通,同意,普通,普通,同意,普通,普通,同意,同意,同意,同意,不同意,不同意,不同意,不同意,同意,同意,同意,同意,同意,不會,
2025/5/29 下午 8:10:38,女,46-50歲,碩士,自由業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$50,001-70,000元","$40,001-60,000元",一直有使用,6年以上,兩到三天一次,防曬乳液 (Sunscreen Lotion),都沒有用過,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,普通,同意,普通,普通,同意,普通,同意,普通,同意,同意,同意,同意,同意,不會,701元-900元
