時間戳記,請問您的性別是：,您的年齡：,教育程度（學歷） , 請問您的職業是:,居住地區：,請問您每月平均所得為?,請問您每月平均支出為? ,請問您曾經使用過防曬商品嗎?,"(呈上題) 針對選到 ""一直有使用"" 或 ""曾經使用過"" 者
2025/5/29 下午 8:15:45,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3-6個月,五到七天一次,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream)","輕親柔光敏感肌防曬露NA, 美光燈潤色防曬凝膠N",同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,同意,同意,同意,普通,同意,會,300元-500元
2025/5/29 下午 8:28:01,男,46-50歲,四技五專,製造業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,000元(含)以下",沒有使用過，但未來想要使用(不排斥),,,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,會,小於300
2025/5/29 下午 8:33:33,男,51-55歲,高中(職),服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$80,001-100,000元",曾經使用過,3個月以下,兩到三個月一次,防曬噴霧 (Sunscreen Spray),都沒有用過,普通,不同意,不同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,會,小於300
2025/5/29 下午 8:39:28,男,51-55歲,碩士,製造業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$150,000元以上","$60,001-80,000元",曾經使用過,6年以上,七個月以上一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,不會,
2025/5/29 下午 9:06:38,女,46-50歲,大學/大專,軍公教人員(軍人、公務人員、教師),北部（台北、新北、基隆、桃園、新竹、苗栗）,"$50,001-70,000元","$20,000元(含)以下",曾經使用過,6年以上,每天,"防曬噴霧 (Sunscreen Spray), 防曬凝膠 (Sunscreen Gel)",金鑽高效防曬露NA（5X版）,同意,同意,普通,非常同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,會,300元-500元
2025/5/29 下午 9:36:53,男,41-45歲,碩士,專業人員(醫生、律師、工程師等),南部（嘉義、台南、高雄、屏東）,"$130,001-150,000元","$40,001-60,000元",曾經使用過,6年以上,兩到三週一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,同意,普通,普通,普通,普通,普通,普通,不同意,不同意,不同意,不同意,會,小於300
2025/5/29 下午 9:41:01,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream)","金鑽高效防曬露NA（5X版）, 金鑽高效水感防曬凝膠NA",非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,會,300元-500元
2025/5/29 下午 9:42:33,女,46-50歲,碩士,家庭主婦,中部（台中、彰化、南投、雲林）,"$30,001-50,000元","$40,001-60,000元",曾經使用過,3個月以下,七個月以上一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,非常不同意,非常不同意,非常不同意,非常不同意,普通,普通,普通,普通,普通,不會,
2025/5/29 下午 9:49:51,女,51-55歲,四技五專,服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,000元(含)以下",曾經使用過,6年以上,兩到三週一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,同意,同意,同意,同意,同意,會,501元-700元
2025/5/29 下午 9:53:13,男,18歲以下,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,四到六個月一次,防曬乳液 (Sunscreen Lotion),都沒有用過,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,普通,同意,同意,同意,同意,同意,同意,同意,同意,同意,會,300元-500元
2025/5/29 下午 11:48:46,女,51-55歲,碩士,軍公教人員(軍人、公務人員、教師),北部（台北、新北、基隆、桃園、新竹、苗栗）,"$70,001-90,000元","$60,001-80,000元",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,普通,同意,普通,同意,會,300元-500元
2025/5/30 上午 12:12:08,男,18-25歲,大學/大專,學生,中部（台中、彰化、南投、雲林）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,6年以上,四到六個月一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,會,501元-700元
2025/5/30 上午 12:48:31,女,46-50歲,碩士,自由業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$90,001-110,000元","$80,001-100,000元",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,非常同意,非常同意,非常同意,同意,同意,同意,同意,非常同意,非常同意,同意,同意,同意,同意,同意,普通,普通,普通,不同意,普通,普通,普通,普通,非常同意,非常同意,同意,非常同意,非常同意,會,300元-500元
2025/5/30 上午 12:58:30,女,51-55歲,博士,軍公教人員(軍人、公務人員、教師),中部（台中、彰化、南投、雲林）,"$110,001-130,000元","$80,001-100,000元",曾經使用過,3個月以下,七個月以上一次,防曬乳液 (Sunscreen Lotion),都沒有用過,不同意,不同意,非常不同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,不會,
2025/5/30 上午 2:40:46,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",沒有使用過，未來也不會使用,,,沒有使用防曬產品,都沒有用過,非常不同意,非常不同意,非常不同意,普通,普通,普通,普通,普通,普通,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,普通,普通,普通,普通,非常不同意,非常不同意,非常不同意,非常不同意,普通,非常不同意,普通,同意,同意,不會,小於300
2025/5/30 上午 5:50:02,女,41-45歲,大學/大專,資訊科技業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$150,000元以上","$80,001-100,000元",曾經使用過,6年以上,兩到三週一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,普通,普通,不同意,普通,普通,普通,普通,普通,會,501元-700元
2025/5/30 上午 8:38:57,女,51-55歲,碩士,行政,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$70,001-90,000元","$40,001-60,000元",曾經使用過,6年以上,兩到三週一次,防曬乳液 (Sunscreen Lotion),"金鑽高效防曬露NA（5X版）, 金鑽高效水感防曬凝膠NA",同意,同意,同意,同意,普通,同意,同意,同意,同意,普通,普通,不同意,普通,不同意,普通,普通,同意,普通,不同意,不同意,不同意,不同意,同意,不同意,普通,同意,同意,會,501元-700元
2025/5/30 上午 9:32:33,女,51-55歲,碩士,製造業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$50,001-70,000元","$20,001-40,000元",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream)",輕親柔光敏感肌防曬露NA,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,普通,普通,普通,同意,同意,同意,同意,同意,會,小於300
2025/5/30 上午 9:40:22,男,41-45歲,碩士,服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$150,000元以上","$120,000元以上",一直有使用,6年以上,四到五天一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,同意,同意,同意,同意,同意,會,小於300
2025/5/30 上午 9:51:49,男,18-25歲,碩士,專業人員(醫生、律師、工程師等),北部（台北、新北、基隆、桃園、新竹、苗栗）,"$70,001-90,000元","$40,001-60,000元",曾經使用過,1-2 年,兩到三週一次,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,同意,非常同意,非常同意,同意,同意,同意,普通,同意,同意,同意,普通,同意,同意,普通,同意,同意,同意,同意,同意,普通,同意,同意,普通,普通,普通,普通,普通,會,901元-1200元
2025/5/30 下午 12:27:01,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",沒有使用過，但未來想要使用(不排斥),,,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)",都沒有用過,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,不會,
2025/5/30 下午 1:33:59,女,46-50歲,大學/大專,服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$50,001-70,000元","$60,001-80,000元",曾經使用過,6年以上,兩到三週一次,"防曬乳液 (Sunscreen Lotion), 防曬棒 (Sunscreen Stick)","金鑽高效水感防曬凝膠NA, 輕親柔光敏感肌防曬露NA, 美光燈潤色防曬凝膠N",同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,普通,普通,普通,普通,普通,普通,同意,普通,普通,普通,同意,普通,普通,普通,普通,普通,普通,會,300元-500元
2025/5/30 下午 2:59:40,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,一週一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",金鑽高效水感防曬凝膠NA,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,同意,同意,同意,普通,普通,普通,普通,普通,同意,同意,同意,普通,同意,會,300元-500元
2025/5/30 下午 3:52:37,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3-6個月,四到六個月一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",都沒有用過,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,會,300元-500元
2025/5/30 下午 6:07:41,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,001-40,000元",曾經使用過,3個月以下,兩到三天一次,防曬噴霧 (Sunscreen Spray),都沒有用過,不同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,同意,同意,同意,同意,同意,不會,
2025/5/30 下午 7:44:55,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,1-2 年,一週一次,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,同意,普通,普通,普通,會,300元-500元
2025/5/30 下午 8:18:54,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,非常同意,非常同意,同意,非常同意,同意,同意,同意,非常同意,同意,非常同意,非常同意,非常同意,非常同意,非常同意,同意,同意,非常同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,同意,會,501元-700元
2025/5/30 下午 8:26:58,男,18歲以下,高中(職),學生,中部（台中、彰化、南投、雲林）,"$30,000元(含)以下","$20,000元(含)以下",沒有使用過，但未來想要使用(不排斥),3個月以下,七個月以上一次,沒有使用防曬產品,都沒有用過,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,不同意,非常不同意,不同意,普通,不會,小於300
2025/5/30 下午 8:27:56,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,一週一次,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)","金鑽高效防曬露NA（5X版）, 輕親柔光敏感肌防曬露NA",非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,同意,非常同意,同意,同意,同意,非常同意,非常同意,非常同意,非常同意,普通,普通,普通,普通,非常同意,非常同意,非常同意,非常同意,非常同意,會,701元-900元
2025/5/30 下午 8:39:46,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,1-2 年,一週一次,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)","金鑽高效防曬露NA（5X版）, 輕親柔光敏感肌防曬露NA",非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,會,701元-900元
2025/5/30 下午 9:33:56,男,18-25歲,大學/大專,學生,南部（嘉義、台南、高雄、屏東）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,兩到三週一次,沒有使用防曬產品,"都沒有用過, 濾鏡美顏日間防護精華N",同意,同意,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,不會,小於300
2025/5/30 下午 10:13:34,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,四到六個月一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",都沒有用過,同意,同意,普通,普通,普通,普通,同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,同意,普通,非常同意,同意,同意,不會,
2025/5/30 下午 10:18:32,男,46-50歲,大學/大專,服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$150,000元以上","$100,001-120,000元",曾經使用過,6年以上,兩到三個月一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",金鑽高效水感防曬凝膠NA,同意,同意,普通,普通,普通,同意,同意,普通,普通,同意,普通,普通,同意,普通,同意,同意,同意,普通,普通,普通,普通,普通,普通,同意,普通,普通,普通,會,701元-900元
2025/5/30 下午 10:22:26,女,41-45歲,大學/大專,服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,000元(含)以下",曾經使用過,5-6年,兩到三天一次,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)",都沒有用過,普通,普通,普通,同意,同意,同意,同意,普通,同意,普通,普通,普通,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,同意,同意,同意,同意,同意,不會,
2025/5/30 下午 10:45:54,女,18歲以下,高中(職),學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,每天,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,會,501元-700元
2025/5/30 下午 10:54:55,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,001-40,000元",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)","金鑽高效防曬露NA（5X版）, 金鑽高效水感防曬凝膠NA",非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,會,901元-1200元
2025/5/30 下午 11:30:26,男,18-25歲,高中(職),學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,七個月以上一次,沒有使用防曬產品,都沒有用過,普通,普通,不同意,同意,普通,同意,同意,同意,同意,普通,同意,普通,同意,普通,同意,同意,同意,普通,不同意,不同意,普通,普通,同意,同意,普通,同意,普通,會,701元-900元
2025/5/30 下午 11:51:45,男,18-25歲,高中(職),學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,2-3年,七個月以上一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",都沒有用過,非常不同意,非常不同意,非常不同意,同意,同意,同意,同意,同意,同意,非常同意,非常同意,非常同意,非常同意,非常同意,普通,普通,普通,普通,普通,普通,普通,普通,非常同意,非常同意,非常同意,非常同意,非常同意,不會,300元-500元
2025/5/31 上午 8:56:26,女,46-50歲,碩士,服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$70,001-90,000元","$60,001-80,000元",曾經使用過,6年以上,一週一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray), 防曬粉 (Sunscreen Powder)",金鑽高效防曬露NA（5X版）,同意,同意,普通,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,不同意,不同意,不同意,不同意,普通,普通,普通,普通,普通,會,300元-500元
2025/5/31 上午 10:46:25,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,2-3年,五到七天一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,會,小於300
2025/5/31 上午 11:00:39,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,6-12個月,兩到三週一次,防曬霜 (Sunscreen Cream),金鑽高效水感防曬凝膠NA,普通,普通,普通,普通,普通,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,不同意,不同意,不同意,不同意,同意,同意,同意,同意,同意,不會,300元-500元
2025/5/31 下午 12:48:19,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,6-12個月,四到六個月一次,防曬乳液 (Sunscreen Lotion),都沒有用過,同意,同意,同意,普通,同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,普通,同意,同意,同意,同意,同意,同意,同意,非常同意,同意,非常同意,非常同意,同意,不會,501元-700元
2025/5/31 下午 3:13:09,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,2-3年,兩到三週一次,沒有使用防曬產品,金鑽高效水感防曬凝膠NA,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,同意,普通,同意,普通,普通,普通,普通,普通,非常同意,非常同意,非常同意,普通,普通,會,300元-500元
2025/5/31 下午 3:47:50,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,2-3年,兩到三個月一次,防曬乳液 (Sunscreen Lotion),金鑽高效水感防曬凝膠NA,同意,同意,普通,同意,同意,同意,同意,同意,同意,普通,同意,同意,同意,普通,同意,同意,同意,同意,同意,非常同意,非常同意,普通,同意,同意,非常同意,同意,非常同意,會,701元-900元
2025/5/31 下午 7:58:16,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream), 防曬棒 (Sunscreen Stick)",金鑽高效防曬露NA（5X版）,不同意,普通,不同意,同意,同意,同意,同意,同意,同意,不同意,不同意,不同意,不同意,不同意,非常同意,同意,非常同意,同意,不同意,不同意,不同意,不同意,非常同意,不同意,非常同意,非常同意,非常同意,不會,
2025/5/31 下午 7:58:58,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,四到六個月一次,防曬乳液 (Sunscreen Lotion),美光燈潤色防曬凝膠N,普通,同意,普通,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,普通,普通,同意,同意,同意,不同意,不同意,不同意,不同意,同意,同意,同意,同意,同意,會,小於300
2025/5/31 下午 10:50:27,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3-6個月,一個月一次,防曬乳液 (Sunscreen Lotion),"金鑽高效水感防曬凝膠NA, 輕親柔光敏感肌防曬露NA",同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,非常同意,非常同意,非常同意,非常同意,非常同意,會,300元-500元
2025/6/1 上午 12:31:57,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,1-2 年,每天,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream)",都沒有用過,普通,普通,普通,同意,同意,同意,同意,同意,同意,普通,普通,普通,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,會,300元-500元
2025/6/1 上午 1:12:43,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,3個月以下,每天,沒有使用防曬產品,都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,會,小於300
2025/6/1 上午 1:52:05,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,3個月以下,每天,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,不同意,不同意,不同意,不同意,不同意,不同意,不同意,不同意,不同意,會,小於300